_id,city,date,ad_count,avg_age,email_count,phone_count
6221455240741654807e1ada,BRIDGEPORT,2022-03-02,10,26.9,0,10
6221455240741654807e1adb,SPOKANE,2022-02-28,26,28.307692307692307,0,21
6221455240741654807e1adc,SIOUX FALLS,2022-02-26,1,31.0,0,1
6221455240741654807e1add,BRAINERD,2022-03-02,4,25.75,0,4
6221455240741654807e1ade,KEY WEST,2022-03-02,28,26.535714285714285,0,28
6221455240741654807e1adf,TRI-CITIES,2022-03-02,12,24.666666666666668,0,11
6221455240741654807e1ae0,HAMILTON,2022-03-02,11,36.72727272727273,0,9
6221455240741654807e1ae1,CORPUS CHRISTI,2022-02-26,70,26.285714285714285,1,53
6221455240741654807e1ae2,DOTHAN,2022-02-25,19,26.42105263157895,0,14
6221455240741654807e1ae3,BANGOR,2022-02-28,1,24.0,0,1
6221455240741654807e1ae4,TUCSON,2022-02-25,72,27.166666666666668,0,48
6221455240741654807e1ae5,SALT LAKE CITY,2022-03-02,189,30.296296296296298,0,166
6221455240741654807e1ae6,LOGAN,2022-02-25,6,24.0,0,4
6221455240741654807e1ae7,WEST PALM BEACH,2022-02-27,382,27.48952879581152,1,266
6221455240741654807e1ae8,NEW BEDFORD,2022-02-26,10,27.4,0,10
6221455240741654807e1ae9,RENO,2022-03-01,112,28.169642857142858,0,71
6221455240741654807e1aea,DENTON,2022-03-02,43,26.11627906976744,0,43
6221455240741654807e1aeb,MIAMI,2022-02-25,1020,26.965686274509803,3,661
6221455240741654807e1aec,CLEVELAND,2022-02-26,265,26.554716981132074,0,182
6221455240741654807e1aed,LOGAN,2022-03-01,4,24.75,0,4
6221455240741654807e1aee,WATERTOWN,2022-02-25,9,28.77777777777778,0,9
6221455240741654807e1aef,PALM SPRINGS,2022-02-26,77,27.246753246753247,0,59
6221455240741654807e1af0,OTTAWA,2022-02-26,14,35.07142857142857,0,13
6221455240741654807e1af1,CHICO,2022-02-28,45,25.91111111111111,0,32
6221455240741654807e1af2,BOULDER,2022-02-27,16,26.4375,0,12
6221455240741654807e1af3,SIERRA VISTA,2022-03-01,2,27.0,0,2
6221455240741654807e1af4,SOUTH CHARLESTON,2022-03-02,1,24.0,0,1
6221455240741654807e1af5,HOPKINSVILLE,2022-03-01,5,26.6,0,3
6221455240741654807e1af6,AKRON,2022-02-27,41,26.390243902439025,0,30
6221455240741654807e1af7,WICHITA,2022-02-28,65,25.96923076923077,0,44
6221455240741654807e1af8,RALEIGH,2022-02-27,241,27.979253112033195,0,166
6221455240741654807e1af9,TYLER,2022-02-26,54,26.90740740740741,1,46
6221455240741654807e1afa,HARRISONBURG,2022-02-27,17,25.352941176470587,1,14
6221455240741654807e1afb,LEXINGTON,2022-02-28,32,31.03125,1,21
6221455240741654807e1afc,INDIANAPOLIS,2022-02-26,359,27.657381615598887,1,233
6221455240741654807e1afd,CLOVIS,2022-02-28,18,26.333333333333332,0,13
6221455240741654807e1afe,BUTTE,2022-02-28,1,24.0,0,1
6221455240741654807e1aff,TORRINGTON,2022-02-25,6,27.833333333333332,0,5
6221455240741654807e1b00,SOUTH CHARLESTON,2022-02-27,1,24.0,0,1
6221455240741654807e1b01,GREENVILLE,2022-02-28,184,27.07608695652174,0,135
6221455240741654807e1b02,PHILADELPHIA,2022-02-26,697,26.823529411764707,0,450
6221455240741654807e1b03,RICHMOND,2022-03-01,181,26.734806629834253,1,121
6221455240741654807e1b04,MERCED,2022-02-26,28,26.892857142857142,0,25
6221455240741654807e1b05,MANKATO,2022-02-28,13,24.923076923076923,0,11
6221455240741654807e1b06,BROWNSVILLE,2022-02-26,41,27.390243902439025,1,30
6221455240741654807e1b07,CHAUTAUQUA,2022-02-26,9,26.666666666666668,0,9
6221455240741654807e1b08,NORTH MISSISSIPPI,2022-02-28,28,28.214285714285715,1,21
6221455240741654807e1b09,PEORIA,2022-02-25,12,28.666666666666668,0,9
